ancestor,descendant,depth
1,1,0                        -- Electrónicos
1,2,1                        -- Electrodomésticos
1,6,1                        -- Tecnología Móvil
1,10,1                       -- Electrónica de Consumo
1,13,1                       -- Cámaras y Fotografía
1,16,1                       -- Videojuegos
1,20,1                       -- Música
2,3,2                        -- Cocinas
2,4,2                        -- Refrigeradores
2,5,2                        -- Lavadoras
6,7,2                        -- Teléfonos
6,8,2                        -- Tabletas
6,9,2                        -- Accesorios Móviles
10,11,2                      -- Televisores
10,12,2                      -- Audio y Video
13,14,2                      -- Cámaras Digitales
13,15,2                      -- Accesorios de Fotografía
16,17,2                      -- Consolas
16,18,2                      -- Juegos
16,19,2                      -- Accesorios para Videojuegos
20,21,2                      -- Instrumentos Musicales
20,22,2                      -- Equipos de Audio
23,23,0                       -- Ropa
23,24,1                       -- Ropa Deportiva
23,27,1                       -- Ropa Casual
23,30,1                       -- Accesorios de Moda
24,25,2                       -- Calzado Deportivo
24,26,2                       -- Accesorios Deportivos
27,28,2                       -- Vestidos
27,29,2                       -- Camisetas
31,31,0                       -- Hogar y Muebles
31,32,1                       -- Muebles
31,36,1                       -- Artículos de Limpieza
31,37,1                       -- Jardinería
31,40,1                       -- Cocina
32,33,2                       -- Sofás
32,34,2                       -- Mesas
32,35,2                       -- Sillas
37,38,2                       -- Plantas
37,39,2                       -- Herramientas de Jardín
40,41,2                       -- Utensilios
40,42,2                       -- Electrodomésticos de Cocina
43,43,0                       -- Alimentos y Bebidas
43,44,1                       -- Alimentos Frescos
43,45,1                       -- Bebidas
45,46,2                       -- Bebidas Alcohólicas
45,47,2                       -- Bebidas No Alcohólicas
48,48,0                       -- Salud y Belleza
48,49,1                       -- Cuidado Personal
48,52,1                       -- Salud y Bienestar
48,55,1                       -- Cuidado del Bebé
49,50,2                       -- Productos para el Cabello
49,51,2                       -- Productos para la Piel
52,53,2                       -- Suplementos
52,54,2                       -- Productos Naturales
55,56,2                       -- Alimentos para Bebés
55,57,2                       -- Accesorios para Bebés
58,58,0                       -- Juguetes
58,59,1                       -- Juguetes Educativos
58,60,1                       -- Juguetes para Bebés
58,61,1                       -- Juguetes de Construcción
62,62,0                       -- Deportes y Aire Libre
62,63,1                       -- Equipos Deportivos
62,64,1                       -- Ropa de Camping
62,65,1                       -- Accesorios de Pesca
66,66,0                       -- Automotriz
66,67,1                       -- Accesorios para Automóviles
66,68,1                       -- Herramientas para Automóviles
69,69,0                       -- Libros y Papelería
69,70,1                       -- Libros
69,73,1                       -- Material de Oficina
69,74,1                       -- Papelería
70,71,2                       -- Ficción
70,72,2                       -- No Ficción
75,75,0                       -- Productos para Mascotas
75,76,1                       -- Alimentos para Mascotas
75,77,1                       -- Accesorios para Mascotas
75,78,1                       -- Juguetes para Mascotas
